film_name,film_year,film_rate,link,poster
Guardians of the Galaxy,2014,3.82,https://letterboxd.com/film/guardians-of-the-galaxy/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
Pearl,2022,3.70,https://letterboxd.com/film/pearl-2022/,https://a.ltrbxd.com/resized/film-poster/8/5/3/8/2/2/853822-pearl-0-70-0-105-crop.jpg?v=471dfc4a24
Wake Up Dead Man,2025,3.78,https://letterboxd.com/film/wake-up-dead-man/,https://a.ltrbxd.com/resized/film-poster/7/2/9/1/1/3/729113-wake-up-dead-man-0-70-0-105-crop.jpg?v=85f3366617
Past Lives,2023,4.16,https://letterboxd.com/film/past-lives/,https://a.ltrbxd.com/resized/film-poster/5/9/1/0/5/3/591053-past-lives-0-70-0-105-crop.jpg?v=c600b7854e
GoodFellas,1990,4.46,https://letterboxd.com/film/goodfellas/,https://a.ltrbxd.com/resized/film-poster/5/1/3/8/3/51383-goodfellas-0-70-0-105-crop.jpg?v=c6c265f228
Up,2009,4.10,https://letterboxd.com/film/up/,https://a.ltrbxd.com/resized/film-poster/4/3/3/0/2/43302-up-0-70-0-105-crop.jpg?v=eac6a19a4c
Home Alone,1990,3.85,https://letterboxd.com/film/home-alone/,https://a.ltrbxd.com/resized/sm/upload/e6/mn/oi/ky/8IWPBT1rkAaI8Kpk5V3WfQRklJ7-0-70-0-105-crop.jpg?v=cb22d36a0e
Conclave,2024,3.92,https://letterboxd.com/film/conclave/,https://a.ltrbxd.com/resized/film-poster/8/7/7/2/5/3/877253-conclave-0-70-0-105-crop.jpg?v=f9cbf50dec
Avatar: The Way of Water,2022,3.63,https://letterboxd.com/film/avatar-the-way-of-water/,https://a.ltrbxd.com/resized/film-poster/6/3/0/5/8/63058-avatar-the-way-of-water-0-70-0-105-crop.jpg?v=cc3269e69d
Aftersun,2022,4.21,https://letterboxd.com/film/aftersun/,https://a.ltrbxd.com/resized/film-poster/8/6/8/5/5/8/868558-aftersun-0-70-0-105-crop.jpg?v=5ce2118fca
Blade Runner 2049,2017,4.10,https://letterboxd.com/film/blade-runner-2049/,https://a.ltrbxd.com/resized/film-poster/2/6/5/4/3/9/265439-blade-runner-2049-0-70-0-105-crop.jpg?v=86735e0bb8
Star Wars,1977,4.16,https://letterboxd.com/film/star-wars/,https://s.ltrbxd.com/static/img/empty-poster-70-BSf-Pjrh.png
